Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards
Exequiel Palacios,Bayer Leverkusen,ARG,MF,21,9,7,572,0,0,0,0,0.02,0.14,1,0
Demarai Gray,Bayer Leverkusen,ENG,FW,24,10,5,442,1,2,0,0,0.24,0.17,0,0
Timothy Fosu-Mensah,Bayer Leverkusen,NED,DF,22,6,5,409,0,0,0,0,0.05,0.03,2,0
Jeremie Frimpong,Bayer Leverkusen,NED,"DF,FW",19,10,4,436,0,0,0,0,0.02,0.13,1,0
Lennart Grill,Bayer Leverkusen,GER,GK,21,4,4,360,0,0,0,0,0.0,0.0,0,0
Mitchell Weiser,Bayer Leverkusen,GER,DF,26,5,2,226,1,0,0,0,0.02,0.0,0,0
Tin Jedvaj,Bayer Leverkusen,CRO,DF,24,3,2,152,0,0,0,0,0.02,0.0,0,0
Niklas Lomb,Bayer Leverkusen,GER,GK,27,2,1,135,0,0,0,0,0.0,0.0,0,0
Santiago Arias,Bayer Leverkusen,COL,DF,28,1,1,90,0,0,0,0,0.0,0.0,0,0
Paulinho,Bayer Leverkusen,BRA,FW,20,1,1,65,0,0,0,0,0.4,0.0,0,0
Marvin Friedrich,Union Berlin,GER,DF,24,34,34,3060,5,2,0,0,0.04,0.02,1,0
Robin Knoche,Union Berlin,GER,DF,28,34,34,3042,1,0,0,0,0.03,0.01,4,0
Andreas Luthe,Union Berlin,GER,GK,33,31,31,2768,0,0,0,0,0.0,0.0,1,0
Christopher Trimmel,Union Berlin,AUT,DF,33,31,30,2572,1,9,0,0,0.01,0.17,9,0
Robert Andrich,Union Berlin,GER,MF,25,29,29,2526,5,2,0,0,0.09,0.08,5,1
Christopher Lenz,Union Berlin,GER,DF,25,27,27,2248,0,3,0,0,0.04,0.08,3,0
Marcus Ingvartsen,Union Berlin,DEN,"MF,FW",24,30,24,1963,3,5,0,1,0.19,0.09,4,0
Grischa Prömel,Union Berlin,GER,MF,25,24,21,1816,3,1,0,0,0.09,0.04,7,0
Max Kruse,Union Berlin,GER,"FW,MF",32,22,19,1629,11,5,5,6,0.37,0.25,0,0
Taiwo Awoniyi,Union Berlin,NGA,FW,22,21,16,1359,5,2,0,0,0.46,0.1,0,0
Nico Schlotterbeck,Union Berlin,GER,DF,20,16,15,1285,1,0,0,0,0.09,0.01,4,1
Sheraldo Becker,Union Berlin,NED,"FW,MF",25,18,15,1106,3,3,0,0,0.17,0.26,2,0
Christian Gentner,Union Berlin,GER,MF,34,22,13,1033,0,0,0,0,0.03,0.09,0,0
Julian Ryerson,Union Berlin,NOR,"DF,MF",22,24,10,1069,0,2,0,0,0.02,0.11,2,0
Joel Pohjanpalo,Union Berlin,FIN,FW,25,19,10,851,6,0,0,0,0.73,0.15,0,0
Marius Bülter,Union Berlin,GER,"FW,MF",27,26,8,977,1,0,0,0,0.18,0.11,1,0
Sebastian Griesbeck,Union Berlin,GER,MF,29,24,8,890,0,0,0,0,0.04,0.0,3,0
Petar Musa,Union Berlin,CRO,FW,22,14,8,715,1,3,0,0,0.31,0.1,2,0
Florian Hübner,Union Berlin,GER,DF,29,6,6,525,0,0,0,0,0.01,0.0,3,0
Cedric Teuchert,Union Berlin,GER,"FW,MF",23,24,5,754,3,1,0,0,0.39,0.12,2,0
Keita Endo,Union Berlin,JPN,"MF,FW",22,16,4,456,1,0,0,0,0.23,0.22,0,0
Niko Gießelmann,Union Berlin,GER,DF,28,13,4,430,0,0,0,0,0.02,0.07,3,0
Loris Karius,Union Berlin,GER,GK,27,4,3,292,0,0,0,0,0.0,0.0,0,0
Akaki Gogia,Union Berlin,GER,FW,28,7,0,140,0,1,0,0,0.09,0.28,1,0
Leon Dajaku,Union Berlin,GER,FW,19,2,0,37,0,0,0,0,0.0,0.0,0,0
Tim Maciejewski,Union Berlin,GER,MF,19,1,0,8,0,0,0,0,0.0,0.0,0,0
Joshua Mees,Union Berlin,GER,FW,24,1,0,5,0,0,0,0,2.02,0.0,0,0
